Weld,C,Mn,Si,S,P,Al,Ti,Cr,Ni,Mo,V,Cu,YS,UTS,El,RA,Temp,Temp
ACuTi,0.063,0.64,0.3,0.008,0.008,0.0005,0.0043,0.03,0.03,0.005,0.005,0.53,417,498,29.2,78.9,-62,-94
ACuTi,0.065,0.64,0.31,0.007,0.008,0.0005,0.0098,0.03,0.03,0.005,0.005,0.51,421,485,32.8,78.9,-46,-72
ACuTi,0.069,0.63,0.32,0.007,0.01,0.0005,0.017,0.03,0.03,0.005,0.005,0.49,420,487,28.8,78.9,-51,-74
ACuTi,0.074,0.62,0.34,0.005,0.009,0.0005,0.022,0.03,0.03,0.005,0.005,0.49,454,524,29,77,-53,-74
ACuTi,0.065,0.62,0.3,0.007,0.009,0.0005,0.0004,0.03,0.03,0.005,0.005,1.03,439,509,31.6,78.9,-54,-87
ACuTi,0.064,0.63,0.3,0.007,0.007,0.0005,0.0042,0.03,0.03,0.005,0.005,1.05,429,497,26.6,77,-58,-94
ACuTi,0.068,0.63,0.3,0.007,0.007,0.0005,0.01,0.03,0.03,0.005,0.005,1.05,446,516,30,78,-53,-81
ACuTi,0.067,0.62,0.31,0.006,0.007,0.0005,0.018,0.03,0.03,0.005,0.005,1.03,422,492,29.2,78.9,-41,-75
ACuTi,0.07,0.61,0.36,0.006,0.009,0.0005,0.029,0.03,0.03,0.005,0.005,1.02,451,519,29,78,-53,-79
ACuTi,0.064,0.64,0.32,0.007,0.008,0.0005,0.0004,0.03,0.03,0.005,0.005,1.6,504,565,26.6,73,-24,-70
ACuTi,0.066,0.67,0.37,0.006,0.008,0.0005,0.0051,0.03,0.03,0.005,0.005,1.44,516,568,28,75,-43,-77
ACuTi,0.069,0.66,0.33,0.006,0.008,0.0005,0.0108,0.03,0.03,0.005,0.005,1.5,523,573,28,75,-27,-65
ACuTi,0.069,0.6,0.27,0.006,0.007,0.0005,0.014,0.03,0.03,0.005,0.005,1.64,501,553,27.6,72.9,-27,-62
ACuTi,0.071,0.62,0.35,0.005,0.006,0.0005,0.025,0.03,0.03,0.005,0.005,1.55,532,584,28.2,76,-28,-65
ACuTi,0.06,0.63,0.25,0.007,0.008,0.0005,0.0002,0.03,0.03,0.005,0.005,2,628,675,21,66.3,45,-17
ACuTi,0.061,0.65,0.25,0.007,0.008,0.0005,0.0039,0.03,0.03,0.005,0.005,2.02,663,704,22.2,68.6,30,-45
ACuTi,0.067,0.65,0.25,0.008,0.007,0.0005,0.01,0.03,0.03,0.005,0.005,2.02,665,708,23,68.6,28,-24
ACuTi,0.07,0.66,0.29,0.006,0.008,0.0005,0.018,0.03,0.03,0.005,0.005,2.03,645,680,26,68.6,26,-33
ACuTi,0.073,0.64,0.34,0.006,0.007,0.0005,0.03,0.03,0.03,0.005,0.005,2.04,640,686,24,70.8,18,-32
AlN,0.069,1.36,0.3,0.007,0.009,0.0005,0.0037,0.03,0.03,0.005,0.005,0.03,468,529,32.6,80.7,-72,-99
AlN,0.073,1.39,0.33,0.007,0.008,0.002,0.0039,0.03,0.03,0.005,0.005,0.03,475,536,33.4,80.7,-70,-95
AlN,0.078,1.39,0.32,0.007,0.009,0.0044,0.0042,0.03,0.03,0.005,0.005,0.03,478,541,30.4,78.9,-60,-84
AlN,0.08,1.41,0.33,0.006,0.009,0.0078,0.0043,0.03,0.03,0.005,0.005,0.03,478,540,31.2,80.7,-55,-77
AlN,0.08,1.42,0.37,0.006,0.009,0.012,0.0043,0.03,0.03,0.005,0.005,0.03,480,543,29,78.9,-58,-86
AlN,0.076,1.36,0.37,0.005,0.009,0.019,0.0036,0.03,0.03,0.005,0.005,0.03,485,549,31.4,79.8,-58,-86
AlN,0.078,1.31,0.44,0.005,0.008,0.034,0.0036,0.03,0.03,0.005,0.005,0.03,491,564,28.2,78.9,-63,-88
AlN,0.076,1.3,0.51,0.005,0.008,0.049,0.0043,0.03,0.03,0.005,0.005,0.03,485,560,25.2,78.9,-55,-90
AlN,0.079,1.32,0.57,0.004,0.008,0.061,0.0038,0.03,0.03,0.005,0.005,0.03,491,570,29.2,77,-38,-74
AlN,0.069,1.35,0.32,0.01,0.006,0.0005,0.003,0.03,0.03,0.005,0.005,0.03,492,568,30,77,-45,-68
AlN,0.07,1.4,0.32,0.009,0.007,0.0069,0.0037,0.03,0.03,0.005,0.005,0.03,502,569,25.6,78.9,-39,-63
AlN,0.069,1.37,0.38,0.008,0.007,0.014,0.0033,0.03,0.03,0.005,0.005,0.03,523,587,26.4,78.9,-42,-60
AlN,0.073,1.29,0.47,0.006,0.005,0.028,0.0031,0.03,0.03,0.005,0.005,0.03,514,579,24.4,77,-38,-61
AlN,0.072,1.32,0.5,0.006,0.006,0.0444,0.0032,0.03,0.03,0.005,0.005,0.03,512,581,24.6,76,-30,-59
AlN,0.07,1.3,0.54,0.005,0.006,0.058,0.0029,0.03,0.03,0.005,0.005,0.03,512,581,26.4,76,-15,-54
AlN,0.07,1.39,0.28,0.009,0.01,0.0002,0.0031,0.03,0.03,0.005,0.005,0.03,524,598,25.2,74.7,-27,-53
AlN,0.07,1.41,0.35,0.007,0.007,0.0084,0.0038,0.03,0.03,0.005,0.005,0.03,550,623,27,76.5,-27,-54
